ID,group
1,"[1, 2]"
3,"[1, 2]"
5,"[1, 2]"
12,"[1, 2]"
13,"[1, 2]"
17,"[1, 2]"
20,"[1, 2]"
21,"[1, 2]"
22,"[1, 2, 3]"
24,"[1, 2]"
25,"[1, 2]"
28,[1]
31,"[1, 2]"
32,"[1, 2]"
33,"[1, 2]"
34,"[1, 2]"
36,"[1, 2]"
37,"[1, 2]"
38,"[1, 2]"
39,"[1, 2]"
40,"[1, 2, 4]"
41,"[1, 2]"
43,"[1, 2]"
44,"[1, 2]"
45,"[1, 2]"
46,"[1, 2]"
48,"[1, 2]"
49,"[1, 2]"
51,"[1, 2]"
56,"[1, 2, 4]"
57,[1]
64,"[1, 2]"
67,"[1, 2]"
70,"[1, 2]"
71,"[1, 2, 4]"
100,"[1, 2, 3]"
101,"[1, 2, 4]"
102,"[1, 2]"
104,"[1, 2, 3]"
106,"[1, 2]"
107,"[1, 2]"
108,"[1, 2, 3]"
112,"[1, 2]"
118,"[1, 2]"
128,"[1, 2]"
232,"[1, 2]"
233,"[1, 2]"
234,"[1, 2]"
235,"[1, 2]"
236,"[1, 2]"
